iso_week,commit_date,cloc_total,test_cloc,test_count_files,test_count_cases
2025-W40,2025-10-05,11401,1109,14,56
2025-W41,2025-10-12,16648,3990,42,280
2025-W42,2025-10-19,23460,7529,66,506
2025-W43,2025-10-26,23610,7577,66,506
2025-W44,2025-11-02,25339,8025,66,503
2025-W45,2025-11-06,26389,8103,68,514
2025-W46,2025-11-16,29979,8401,70,521
2025-W47,2025-11-23,33436,8401,70,521
2025-W48,2025-11-30,35219,9431,71,568
2025-W49,2025-12-07,35010,9511,71,573
2025-W50,2025-12-14,38913,9511,71,573
2025-W51,2025-12-21,45618,12234,83,692
2025-W52,2025-12-28,46426,13207,87,717
2026-W01,2026-01-04,51504,14144,92,744
2026-W02,2026-01-11,55344,17131,96,742
2026-W03,2026-01-18,61534,20074,104,827
2026-W04,2026-01-25,61666,19914,103,820
2026-W05,2026-02-01,68868,20783,106,844
2026-W06,2026-02-08,73510,23285,112,898
2026-W07,2026-02-15,84959,24772,118,908
2026-W08,2026-02-20,94303,26375,127,954
